               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 126,             0.03494,             0.01189,            0.022591,             0.77238,             0.97012,             0.94019,             0.62033,            0.019526,           0.0055983,            0.018768,            0.007525,            0.007525,            0.007525
                 127,            0.035728,            0.010023,            0.026468,             0.76897,                   1,              0.9325,             0.68854,            0.020001,           0.0053638,            0.018638,           0.0075052,           0.0075052,           0.0075052
                 128,            0.037257,            0.011636,            0.023002,             0.76897,                   1,              0.9325,             0.68854,            0.020001,           0.0053638,            0.018638,           0.0074854,           0.0074854,           0.0074854
                 129,            0.038439,            0.010776,            0.025384,             0.95829,                   1,               0.995,              0.7909,            0.015051,           0.0054023,            0.018476,           0.0074656,           0.0074656,           0.0074656
                 130,            0.033199,             0.01157,            0.026249,             0.95829,                   1,               0.995,              0.7909,            0.015051,           0.0054023,            0.018476,           0.0074458,           0.0074458,           0.0074458
                 131,            0.029855,            0.010019,            0.023861,             0.98135,                   1,               0.995,              0.7557,            0.017947,           0.0055966,            0.018126,            0.007426,            0.007426,            0.007426
                 132,            0.034245,            0.011958,            0.021065,             0.98135,                   1,               0.995,              0.7557,            0.017947,           0.0055966,            0.018126,           0.0074062,           0.0074062,           0.0074062
                 133,            0.035153,           0.0094505,            0.023942,             0.92834,             0.95565,             0.97227,             0.54332,            0.023202,           0.0052062,            0.017827,           0.0073864,           0.0073864,           0.0073864
                 134,            0.035953,            0.010916,            0.020358,             0.92834,             0.95565,             0.97227,             0.54332,            0.023202,           0.0052062,            0.017827,           0.0073666,           0.0073666,           0.0073666
                 135,            0.037068,            0.010899,            0.021607,             0.99296,              0.9862,               0.995,             0.64052,            0.021489,           0.0056657,            0.017341,           0.0073468,           0.0073468,           0.0073468
                 136,             0.03917,            0.013724,            0.022187,             0.99296,              0.9862,               0.995,             0.64052,            0.021489,           0.0056657,            0.017341,            0.007327,            0.007327,            0.007327
                 137,             0.03699,           0.0083685,            0.026945,             0.97635,                   1,               0.995,             0.53942,            0.022631,            0.005433,            0.016861,           0.0073072,           0.0073072,           0.0073072
                 138,            0.034066,            0.011545,            0.020775,             0.97635,                   1,               0.995,             0.53942,            0.022631,            0.005433,            0.016861,           0.0072874,           0.0072874,           0.0072874
                 139,            0.033307,            0.010351,              0.0193,             0.92278,                   1,             0.95864,             0.63286,            0.016807,           0.0053964,             0.01617,           0.0072676,           0.0072676,           0.0072676
                 140,            0.035755,           0.0081773,             0.02293,             0.92278,                   1,             0.95864,             0.63286,            0.016807,           0.0053964,             0.01617,           0.0072478,           0.0072478,           0.0072478
                 141,            0.029086,            0.008592,            0.023325,             0.95504,                   1,               0.995,             0.77221,            0.017559,           0.0051185,            0.015331,            0.007228,            0.007228,            0.007228
                 142,             0.03337,            0.012056,             0.02174,             0.95504,                   1,               0.995,             0.77221,            0.017559,           0.0051185,            0.015331,           0.0072082,           0.0072082,           0.0072082
                 143,            0.035385,           0.0097391,            0.021283,             0.95854,                   1,               0.995,             0.55041,            0.018574,           0.0050702,            0.014795,           0.0071884,           0.0071884,           0.0071884
                 144,            0.035787,           0.0086823,            0.018449,             0.95854,                   1,               0.995,             0.55041,            0.018574,           0.0050702,            0.014795,           0.0071686,           0.0071686,           0.0071686
                 145,            0.036053,            0.011363,            0.018604,             0.96355,                   1,               0.995,             0.69658,            0.019985,           0.0051987,            0.014108,           0.0071488,           0.0071488,           0.0071488
                 146,            0.033778,            0.010823,            0.016719,             0.96355,                   1,               0.995,             0.69658,            0.019985,           0.0051987,            0.014108,            0.007129,            0.007129,            0.007129
                 147,            0.038901,           0.0084536,            0.018589,             0.97689,                   1,               0.995,             0.67477,            0.015671,           0.0053709,            0.013511,           0.0071092,           0.0071092,           0.0071092
                 148,            0.034212,            0.011375,            0.022189,             0.97689,                   1,               0.995,             0.67477,            0.015671,           0.0053709,            0.013511,           0.0070894,           0.0070894,           0.0070894
                 149,            0.032388,           0.0094228,            0.018035,             0.97263,                   1,               0.995,             0.73239,            0.016642,           0.0052458,            0.012672,           0.0070696,           0.0070696,           0.0070696
                 150,            0.035545,            0.011424,            0.021855,             0.97263,                   1,               0.995,             0.73239,            0.016642,           0.0052458,            0.012672,           0.0070498,           0.0070498,           0.0070498
                 151,             0.04097,            0.009686,            0.017666,             0.81382,                   1,             0.95821,              0.5117,            0.017921,           0.0054285,            0.012477,             0.00703,             0.00703,             0.00703
                 152,            0.039226,           0.0095042,            0.022632,             0.81382,                   1,             0.95821,              0.5117,            0.017921,           0.0054285,            0.012477,           0.0070102,           0.0070102,           0.0070102
                 153,             0.04106,           0.0095605,             0.02212,             0.98022,                   1,               0.995,             0.68305,            0.020283,           0.0051334,            0.012078,           0.0069904,           0.0069904,           0.0069904
                 154,             0.03699,           0.0090582,            0.016529,             0.98022,                   1,               0.995,             0.68305,            0.020283,           0.0051334,            0.012078,           0.0069706,           0.0069706,           0.0069706
                 155,            0.035285,           0.0086997,            0.015843,              0.9275,             0.99194,               0.995,             0.49774,            0.018047,           0.0053957,            0.012059,           0.0069508,           0.0069508,           0.0069508
                 156,            0.028296,           0.0078218,            0.014896,              0.9275,             0.99194,               0.995,             0.49774,            0.018047,           0.0053957,            0.012059,            0.006931,            0.006931,            0.006931
                 157,            0.033592,           0.0086819,            0.013695,             0.96664,             0.99506,               0.995,             0.62157,            0.019381,           0.0052431,            0.011699,           0.0069112,           0.0069112,           0.0069112
                 158,             0.03211,            0.010208,            0.016238,             0.96664,             0.99506,               0.995,             0.62157,            0.019381,           0.0052431,            0.011699,           0.0068914,           0.0068914,           0.0068914
